title,authors,pdf_link,release_date
Optimal Dynamic Fees for Blockchain Resources,"Davide Crapis, Ciamac C. Moallemi, Shouqiao Wang",http://arxiv.org/pdf/2309.12735v1,2023-09-22
Commitment games with conditional information disclosure,"Anthony DiGiovanni, Jesse Clifton",http://arxiv.org/pdf/2204.03484v4,2022-04-07
Circle STARKs,"Ulrich Haböck, David Levit, Shahar Papini",https://eprint.iacr.org/2024/278,2024-02-19
SoK: Transparent Dishonesty: front-running attacks on Blockchain,"Shayan Eskandari, Seyedehmahsa Moosavi, Jeremy Clark",http://arxiv.org/pdf/1902.05164v3,2019-02-13
OR Forum—The Cost of Latency in High-Frequency Trading,"Ciamac C. Moallemi, Mehmet Saglam",https://business.columbia.edu/sites/default/files-efs/pubfiles/25476/Moallemi_latency.pdf,2017-08-04
Centralization in Block Building and Proposer-Builder Separation,"Maryam Bahrani, Pranav Garimidi, Tim Roughgarden",http://arxiv.org/pdf/2401.12120v1,2024-01-22
Redistributive Allocation Mechanisms,"Mohammad Akbarpour, Piotr Dworczak, Scott Duke Kominers",https://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID4488613_code948710.pdf?abstractid=3609182&mirid=1,2023-06-23
Fast and Furious Withdrawals from Optimistic Rollups,"Mahsa Moosavi, Mehdi Salehi, Daniel Goldman, Jeremy Clark",https://www.pulpspy.com/papers/2023_aft.pdf,2023-08-18
A Note on the Compatibility of Different Robust Program Equilibria of the Prisoner's Dilemma,Caspar Oesterheld,http://arxiv.org/pdf/2211.05057v1,2022-11-09
Experimenting with Collaborative zk-SNARKs: Zero-Knowledge Proofs for Distributed Secrets,"Alex Ozdemir, Dan Boneh",https://eprint.iacr.org/2021/1530,2022-07-16
When Bidders Are DAOs,"Maryam Bahrani, Pranav Garimidi, Tim Roughgarden",http://arxiv.org/pdf/2306.17099v1,2023-06-29
Tesseract: Real-Time Cryptocurrency Exchange using Trusted Hardware,"Iddo Bentov, Yan Ji, Fan Zhang, Yunqi Li, Xueyuan Zhao, Lorenz Breidenbach, Philip Daian, Ari Juels",https://eprint.iacr.org/2017/1153,2018-07-03
MAD-HTLC: Because HTLC is Crazy-Cheap to Attack,"Itay Tsabary, Matan Yechieli, Alex Manuskin, Ittay Eyal",http://arxiv.org/pdf/2006.12031v3,2020-06-22
"Arbitrageurs' profits, LVR, and sandwich attacks: batch trading as an AMM design response","Andrea Canidio, Robin Fritsch",http://arxiv.org/pdf/2307.02074v2,2023-07-05
Genuine DeFi as Critical Infrastructure: A Conceptual Framework for Combating Illicit Finance Activity in Decentralized Finance,"Rebecca Rettig, Michael Mosier, Katja Gilman",https://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID4607332_code6229438.pdf?abstractid=4607332&mirid=1,2024-01-29
Perpetual Futures Pricing,"Damien Ackerer, Julien Hugonnier, Urban Jermann",http://arxiv.org/pdf/2310.11771v1,2023-10-18
Get It in Writing: Formal Contracts Mitigate Social Dilemmas in Multi-Agent RL,"Phillip J. K. Christoffersen, Andreas A. Haupt, Dylan Hadfield-Menell",http://arxiv.org/pdf/2208.10469v3,2022-08-22
The Pricing And Hedging Of Constant Function Market Makers,"Richard Dewey, Craig Newbold",http://arxiv.org/pdf/2306.11580v1,2023-06-20
UNISWAP: Impermanent Loss and Risk Profile of a Liquidity Provider,"Andreas A. Aigner, Gurvinder Dhaliwal",http://arxiv.org/pdf/2106.14404v1,2021-06-28
Approximately Optimal Mechanism Design,"Tim Roughgarden, Inbal Talgam-Cohen",http://arxiv.org/pdf/1812.11896v2,2018-12-31
Permissionless Consensus,"Andrew Lewis-Pye, Tim Roughgarden",http://arxiv.org/pdf/2304.14701v4,2023-04-28
Trade or Trick? Detecting and Characterizing Scam Tokens on Uniswap Decentralized Exchange,"Pengcheng Xia, Haoyu wang, Bingyu Gao, Weihang Su, Zhou Yu, Xiapu Luo, Chao Zhang, Xusheng Xiao, Guoai Xu",http://arxiv.org/pdf/2109.00229v2,2021-09-01
The Economics of Interest Rate Models in Decentralised Lending Protocols,"Samuel N. Cohen, Leandro Sánchez-Betancourt, Lukasz Szpruch",https://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID4638390_code3010433.pdf?abstractid=4638390&mirid=1,2023-12-01
Bicorn: An optimistically efficient distributed randomness beacon,"Kevin Choi, Arasu Arun, Nirvan Tyagi, Joseph Bonneau",https://eprint.iacr.org/2023/221,2023-02-20
An Axiomatic Approach to Block Rewards,"Xi Chen, Christos Papadimitriou, Tim Roughgarden",http://arxiv.org/pdf/1909.10645v1,2019-09-23
Applications of Mean Field Games  in Economic Theory,nan,https://www.ams.org/meetings/shortcourse/AMS_Short_Course.pdf,2020-01-12
A Myersonian Framework for Optimal Liquidity Provision in Automated Market Makers,"Jason Milionis, Ciamac C. Moallemi, Tim Roughgarden",http://arxiv.org/pdf/2303.00208v1,2023-03-01
Open Problems in Cooperative AI,"Allan Dafoe, Edward Hughes, Yoram Bachrach, Tantum Collins, Kevin R. McKee, Joel Z. Leibo, Kate Larson, Thore Graepel",http://arxiv.org/pdf/2012.08630v1,2020-12-15
Decentral and Incentivized Federated Learning Frameworks: A Systematic Literature Review,"Leon Witt, Mathis Heyer, Kentaroh Toyoda, Wojciech Samek, Dan Li",http://arxiv.org/pdf/2205.07855v3,2022-05-07
Improved Price Oracles: Constant Function Market Makers,"Guillermo Angeris, Tarun Chitra",http://arxiv.org/pdf/2003.10001v4,2020-03-22
Verifiable Delay Functions,"Dan Boneh, Joseph Bonneau, Benedikt Bünz, Ben Fisch",https://eprint.iacr.org/2018/601,2019-06-26
Extracting Godl [sic] from the Salt Mines: Ethereum Miners Extracting Value,"Julien Piet, Jaiden Fairoze, Nicholas Weaver",http://arxiv.org/pdf/2203.15930v1,2022-03-29
Multi-Party Timed Commitments,"Yael Doweck, Ittay Eyal",http://arxiv.org/pdf/2005.04883v2,2020-05-11
Strategic Liquidity Provision in Uniswap v3,"Zhou Fan, Francisco Marmolejo-Cossío, Daniel J. Moroz, Michael Neuder, Rithvik Rao, David C. Parkes",http://arxiv.org/pdf/2106.12033v4,2021-06-22
A Simple Single Slot Finality Protocol For Ethereum,"Francesco DAmato, Luca Zanolini",https://eprint.iacr.org/2023/280,2023-08-17
Credible Decentralized Exchange Design via Verifiable Sequencing Rules,"Matheus V. X. Ferreira, David C. Parkes",http://arxiv.org/pdf/2209.15569v2,2022-09-30
SoK: Decentralized Exchanges (DEX) with Automated Market Maker (AMM) Protocols,"Jiahua Xu, Krzysztof Paruch, Simon Cousaert, Yebo Feng",http://arxiv.org/pdf/2103.12732v7,2021-03-23
Transaction Fee Mechanism Design with Active Block Producers,"Maryam Bahrani, Pranav Garimidi, Tim Roughgarden",http://arxiv.org/pdf/2307.01686v1,2023-07-04
Strong Mediated Equilibrium,"Dov Monderer, Moshe Tennenholtz",https://cdn.aaai.org/AAAI/2006/AAAI06-110.pdf,2006-05-07
Finding the Right Curve: Optimal Design of Constant Function Market Makers,"Mohak Goyal, Geoffrey Ramseyer, Ashish Goel, David Mazières",http://arxiv.org/pdf/2212.03340v2,2022-12-06
Maximizing Extractable Value from Automated Market Makers,"Massimo Bartoletti, James Hsin-yu Chiang, Alberto Lluch-Lafuente",http://arxiv.org/pdf/2106.01870v4,2021-06-02
The centralizing effects of private order flow on proposer-builder separation,"Tivas Gupta, Mallesh M Pai, Max Resnick",http://arxiv.org/pdf/2305.19150v1,2023-05-30
Frontrunning on Automated Decentralized Exchange in Proof Of Stake Environment,Andrey Sobol,https://eprint.iacr.org/2020/1206,2020-10-06
Opportunistic Algorithmic Double-Spending: How I learned to stop worrying and hedge the Fork,"Nicholas Stifter, Aljosha Judmayer, Philipp Schindler, Edgar Weippl",https://eprint.iacr.org/2021/1182,2022-08-03
Open Problems in DAOs,"Joshua Z. Tan, Tara Merk, Sarah Hubbard, Eliza R. Oak, Joni Pirovich, Ellie Rennie, Rolf Hoefer, Michael Zargham, Jason Potts, Chris Berg, Reuben Youngblom, Primavera De Filippi, Seth Frey, Jeff Strnad, Morshed Mannan, Kelsie Nabben, Silke Noa Elrifai, Jake Hartnell, Benjamin Mako Hill, Alexia Maddox, Woojin Lim, Tobin South, Ari Juels, Dan Boneh",http://arxiv.org/pdf/2310.19201v1,2023-10-29
Concave Pro-rata Games,"Nicholas A. G Johnson, Theo Diamandis, Alex Evans, Henry de Valence, Guillermo Angeris",http://arxiv.org/pdf/2302.02126v1,2023-02-04
A General Framework for Impermanent Loss in Automated Market Makers,"Neelesh Tiruviluamala, Alexander Port, Erik Lewis",http://arxiv.org/pdf/2203.11352v1,2022-03-21
SoK: Cross-Domain MEV,Conor McMenamin,http://arxiv.org/pdf/2308.04159v1,2023-08-08
HotStuff: BFT Consensus in the Lens of Blockchain,"Maofan Yin, Dahlia Malkhi, Michael K. Reiter, Guy Golan Gueta, Ittai Abraham",http://arxiv.org/pdf/1803.05069v6,2018-03-13
Differential Privacy in Constant Function Market Makers,"Tarun Chitra, Guillermo Angeris, Alex Evans",https://eprint.iacr.org/2021/1101,2021-08-26
Moonshot: Optimizing Chain-Based Rotating Leader BFT via Optimistic Proposals,"Isaac Doidge, Raghavendra Ramesh, Nibesh Shrestha, Joshua Tobkin",http://arxiv.org/pdf/2401.01791v1,2024-01-03
Formal Contracts Mitigate Social Dilemmas in Multi-Agent RL,"Andreas A. Haupt, Phillip J. K. Christoffersen, Mehul Damani, Dylan Hadfield-Menell",http://arxiv.org/pdf/2208.10469v4,2022-08-22
Optimal Private Payoff Manipulation against Commitment in Extensive-form Games,"Yurong Chen, Xiaotie Deng, Yuhao Li",http://arxiv.org/pdf/2206.13119v2,2022-06-27
Do backrun auctions protect traders?,Andrew W. Macpherson,http://arxiv.org/pdf/2401.08302v1,2024-01-16
zk-Bench: A Toolset for Comparative Evaluation and Performance Benchmarking of SNARKs,"Jens Ernstberger, Stefanos Chaliasos, George Kadianakis, Sebastian Steinhorst, Philipp Jovanovic, Arthur Gervais, Benjamin Livshits, Michele Orrù",https://eprint.iacr.org/2023/1503,2023-10-03
Decentralised Finance and Automated Market Making: Execution and Speculation,"Álvaro Cartea, Fayçal Drissi, Marcello Monga",http://arxiv.org/pdf/2307.03499v1,2023-07-07
